Final Project;Theory Contro-check - Final [Puntos totales: 100 Puntuación] |31786;Theory Control-check Final - Special needs [Puntos totales: 100 Puntuación] |31786;Final Control-Check in English [Puntos totales: 100 Puntuación] |31792;Final Theory Control-check [Puntos totales: 0 Texto] |319803;Final Individual work-group [Puntos totales: 0 Texto] |341991;Final Mark;Definitive Final Mark [Puntos totales: 0 Texto] |343423;September: Final Project Deliverables [Puntos totales: 10 Puntuación] |37768;September: Individual workgroup report [Puntos totales: 10 Puntuación] |37768;Teoría Septiembre [Puntos totales: 100 Puntuación] |3782;Teoría Septiembre (Necesidades especiales) [Puntos totales: 100 Puntuación] |3782;Theory Contro-check (ENGLISH) - September [Puntos totales: 100 Puntuación] |37825;Teoría Septiembre (Remoto) [Puntos totales: 100 Puntuación] |3782;Teoría Septiembre Gobal [Puntos totales: 0 Texto] |39041;Tabajo En Grupo Septiembre  [Puntos totales: 0 Texto] |390418;Nota Final Septiembre [Puntos totales: 0 Texto] |390419;Calificación Definitiva Septiembre [Puntos totales: 0 Texto] |39042
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;62;;;PASS;PASS;5;APROBADO;;;;;;;;;;
8,4;;;;;;4;SUSPENSO;;;;;;;;;;
9,25;;;;PASS;PASS;9,25;SOBRESALIENTE;;;;;;;;;;
9,4;83;;;PASS;PASS;9,4;MATRÍCULA DE HONO;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9,25;85;;;PASS;PASS;9,25;MATRÍCULA DE HONO;;;;;;;;;;
4;;;;PASS;FAIL;4;SUSPENSO;7,7;10;;;;;;7,7;7,7;NOTABLE
5;27;;;FAIL;PASS;4;SUSPENSO;;;27;;;;2.7;;2.7;SUSPENSO
9,6;;;;PASS;PASS;9,6;SOBRESALIENTE;;;;;;;;;;
7,7;;;;PASS;PASS;7,7;NOTABLE;;;;;;;;;;
8,1;;;;PASS;PASS;8,3;NOTABLE;;;;;;;;;;
10;;;;PASS;PASS;10;MATRÍCULA DE HONO;;;;;;;;;;
6,1;50;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
