Final Mark December [Puntos totales: 0 Texto] |414620;Calificación Diciembre [Puntos totales: 0 Texto] |41462;Pre-test for theory control check [Puntos totales: 100 Puntuación] |41482;Sprint 3 Deliverables / Entrega Sprint 3 [Puntos totales: 10 Puntuación] |41517;Puntuación del trabajo en grupo en el Sprint 3 [Puntos totales: 10 Puntuación] |4151;Sprint 3 Retrospective / Retrospectiva del Sprint 3 [Puntos totales: 10 Puntuación] |41517;Theory Mark [Puntos totales: 0 Texto] |438507;Practice Mark ;Individual Project Mark;Final Mark;Final Calification [Puntos totales: 0 Texto] |438511;September: Final Project Deliverables [Puntos totales: 10 Puntuación] |46567;September: Individual workgroup report [Puntos totales: 10 Puntuación] |46567;September: Lab Control-check [Puntos totales: 10 Puntuación] |46567;Control Check Teoría Septiembre [Puntos totales: 100 Puntuación] |4658;Theory ControlCheck September (English) [Puntos totales: 100 Puntuación] |46583
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;3,2;;;0,6;SUSPENSO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,1;7;5,32;5,7;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7,8;10;6,8;7,5;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,1;5;7;6,7;APROBADO;;;;;
5;APROBADO;;Necesita calificació;;Necesita calificació;;;4;2,6;SUSPENSO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;5,1;9;4;5;APROBADO;;;;;
;;0;;;;5;;;1;SUSPENSO;1,8;10;8;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;5,2;6;;1,9;SUSPENSO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;8,5;9;4,94;6,3;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;;Necesita calificació;;;4;2,6;SUSPENSO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,4;5;6,5;5,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,5;10;9;8,7;NOTABLE;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;4,5;8;4,1;4,8;SUSPENSO;;;;71;
;;;;;;;;;;NO PRESENTADO;;;;;
